"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOPPXHJLLMCDEGJBF00795228";2023;1;1;1;43;"S";13;1121;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;1;3;255000;"7";"8";"7";"7";"";"8";63750;"5";"5";"4";"5";"";"4";1178;1;0;98;0;0;0
"TQRMNOQVRHLOLPCDEGJBF00716038";2023;1;1;1;43;"S";13;772;1;"";3;1;"";1;1;1;1;"";1;1;1;2;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;94000;"2";"3";"2";"2";"";"2";47000;"3";"4";"3";"3";"";"3";806;2;0;97;0;0;0
"TQRMNOPXTHMNKSCDEOHCH00803173";2023;1;1;1;44;"N";91;133;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;40000;"1";"1";"1";"";"1";"1";13333,33;"1";"1";"1";"";"1";"1";149;1;0;98;0;0;0
"TQRMNOPVYHLNKQCDEOHCH00720260";2023;1;1;1;44;"N";91;156;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;250000;"7";"8";"6";"";"8";"7";125000;"8";"8";"7";"";"9";"7";168;1;0;97;0;0;0
"TQRMNOTWVHJLKQCDEFOCD00796009";2023;1;1;1;41;"N";8;516;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;100000;"3";"3";"4";"";"3";"5";50000;"4";"4";"5";"";"4";"6";638;1;0;98;0;0;0
"TQRMNORVVHKLKUCDEFOCD00776780";2023;1;1;1;41;"N";8;293;1;"";5;1;"";3;1;1;1;"";1;1;1;1;2;2;2;5;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;100000;"3";"3";"4";"";"3";"5";50000;"4";"4";"5";"";"4";"7";373;1;2;98;0;0;0
"TQRMNORYSHMOKSCDEFOCD00799190";2023;1;1;1;41;"N";8;325;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;1;1;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;110000;"3";"3";"4";"";"3";"5";55000;"4";"4";"6";"";"5";"7";444;2;0;98;0;0;0
"TQRMNOPVXHMMKTCDEFOCD00799191";2023;1;1;1;41;"N";8;240;1;"";3;2;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;98;0;0;0
"TQRMNOQUYHJMKTCDEFOCD00796012";2023;1;1;1;41;"N";8;240;2;"";2;1;"";3;2;1;1;"";1;1;1;1;2;2;2;2;2;2;0;2;2;2;0;0;0;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;2;0;0;0
"TQRMNORPYHJOKUCDEFOCD00796013";2023;1;1;1;41;"N";8;415;1;"";3;2;"";4;2;1;1;"";1;1;2;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;80000;"2";"2";"3";"";"2";"3";26666,67;"2";"2";"2";"";"2";"3";547;1;0;98;0;0;0
