"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQRMNORPRHKNKRCDEOHCH00868796";2024;3;1;1;44;"N";91;109;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2725000;10;10;9;;10;10;1362500;10;10;10;;10;10;133;1;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOTWQHMOKTCDEFMDB00871083";2024;3;1;1;43;"N";6;205;2;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;3;1;1;1;1;1;2;2;0;2;0;6;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;1;1;600000;3;4;4;;4;3;300000;4;5;4;;5;5;240;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOPXXHKOKPCDEFOCD00867727";2024;3;1;1;41;"N";8;292;1;"";3;2;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;305000;1;2;2;;2;3;152500;2;2;3;;2;4;331;1;2;98;0;0;0;2;2;2;2;2;2
"TQRMNOTYPHKOKNCDEGKDB00870870";2024;3;1;1;43;"N";14;238;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;2;2;2;2;2;0
"TQRMNORWRHKNQSCDEIJAH00868121";2024;3;1;1;1;"S";33;2619;1;"";2;2;"";9;2;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;0;2;400000;2;;2;2;;2;200000;3;;3;3;;3;2784;1;2;98;0;0;0;2;2;2;2;2;0
"TQRMNOSQYHKLMUCDEIIAD00869148";2024;3;1;1;1;"S";32;1331;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;2;2;2;2;2;0
"TQRMNORTPHKOKMCDEGPDJ00868726";2024;3;1;1;40;"N";19;295;1;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;1;2;0;2;0;5;"";2;"";1;1;2;0;0;2;2;2;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;1;0;1;578000;3;3;4;;4;4;578000;8;8;9;;8;9;295;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOTQQHJNNQCDEIIAD00868811";2024;3;1;1;1;"S";32;1544;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;3000000;10;;10;10;;9;3000000;10;;10;10;;10;2098;96;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOSSWHKMKNCDEGKDB00867446";2024;3;1;1;43;"N";14;103;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;2;2;1;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;4;0;4;900000;5;6;6;;6;7;225000;3;3;3;;4;4;173;2;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOQPRHKMKNCDEGKDB00871390";2024;3;1;1;43;"N";14;93;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;1000000;6;6;6;;7;7;500000;7;8;7;;8;8;175;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNORSYHKOKMCDEGPDJ00871968";2024;3;1;1;40;"N";19;144;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;4;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;520000;3;3;3;;3;3;260000;4;4;5;;4;5;144;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOSPSHKMKOCDEOJAH00868315";2024;3;1;1;44;"N";93;120;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1800000;9;9;8;;9;9;600000;8;8;7;;9;8;220;1;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOSPUHKMKOCDEOJAH00871352";2024;3;1;1;44;"N";93;151;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOPXXHKMKOCDEOJAH00871439";2024;3;1;1;44;"N";93;218;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOSQPHKLKMCDEHLEH00871138";2024;3;1;1;40;"N";25;204;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;1;98;0;0;0;2;2;2;2;2;0
"TQRMNOSQSHKLKMCDEHLEH00868387";2024;3;1;1;40;"N";25;182;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;4;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1700000;8;9;9;;9;10;340000;5;6;7;;6;9;312;1;2;98;0;0;0;2;2;2;2;2;1
"TQRMNOSQVHKLKMCDEHLEH00871150";2024;3;1;1;40;"N";25;178;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;3;98;0;0;0;2;2;2;2;2;1
"TQRMNOPRQHKNKOCDEHGHJ00867281";2024;3;1;1;44;"N";20;106;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;900000;5;6;4;;6;4;450000;7;7;6;;7;6;177;1;0;2;0;0;0;2;2;2;2;2;1
"TQRMNOPQSHKOLOCDEGNFJ00868679";2024;3;1;1;44;"N";17;490;1;"";3;1;"";3;1;1;1;"";1;1;1;3;2;2;2;3;2;2;0;1;2;1;2;0;2;0;4;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1000000;6;6;5;;7;5;333333,33;5;5;4;;6;4;944;2;1;98;0;0;0;2;2;2;2;2;0
"TQRMNOSTTHKKSQCDEIJAH00867764";2024;3;1;1;1;"S";33;1736;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;3;4;0;0;0;2;2;2;2;2;0
"TQRMNOPRPHKNKOCDEHGHJ00870060";2024;3;1;1;44;"N";20;131;1;"";6;1;"";4;1;1;1;"";1;1;1;1;2;2;2;6;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;2;3;0;0;2;2;2;2;2;1
"TQRMNOPRRHKNKOCDEHGHJ00872196";2024;3;1;1;44;"N";20;188;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;3;0;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;2;0;0;0;2;2;2;2;2;0
"TQRMNOTQRHLMKNCDEHGHJ00870194";2024;3;1;1;44;"N";20;105;2;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;2;2;2;2;2;1
"TQRMNORSPHKMLOCDEGOIH00870032";2024;3;1;1;40;"N";18;158;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;4;1;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;1;2;2;2;2;0
"TQRMNOUPQHJKKQCDEHGHJ00869075";2024;3;1;1;44;"N";20;127;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;0;2;1630000;8;9;8;;9;8;815000;9;9;8;;9;9;283;1;0;2;0;0;0;2;2;2;2;2;0
"TQRMNOPUYHKKMPCDEIIAD00869138";2024;3;1;1;1;"S";32;950;1;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;4;"";1;"";1;1;2;0;0;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;215000;1;;1;1;;1;107500;1;;1;1;;1;1720;1;0;2;0;0;0;2;2;2;2;2;0
"TQRMNOSTUHMONQCDEIIAD00866901";2024;3;1;1;1;"S";32;3794;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;2;5;1;4;2149000;9;;9;9;;8;429800;6;;6;6;;3;5978;2;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOUWTHMONQCDEIIAD00867718";2024;3;1;1;1;"S";32;1018;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";4;"electricidad";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;0;1;0;12;;12;12;;12;0;12;;12;12;;12;0;96;0;1;0;0;0;2;2;2;2;2;0
"TQRMNOSSVHKMNLCDEIIAD00867668";2024;3;1;1;1;"S";32;485;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;96;0;0;0;2;2;2;2;2;0
"TQRMNOPWYHKNQMCDEIJAH00870894";2024;3;1;1;1;"S";33;1816;1;"";1;1;"";4;1;1;2;"";1;1;2;2;2;2;2;1;1;2;0;2;2;2;0;0;0;0;2;"";2;"";1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;0;1;350000;2;;1;2;;2;350000;5;;5;5;;6;1860;1;0;98;0;0;0;2;2;2;2;1;2
"TQRMNOQYYHMOKPCDEOJAH00869675";2024;3;1;1;44;"N";93;64;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;3;0;3;1850000;9;9;8;;9;9;616666,67;8;8;7;;9;8;97;2;0;98;0;0;0;2;2;2;2;2;1
"TQRMNORYSHKMKNCDEOHCH00867545";2024;3;1;1;44;"N";91;65;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;600000;3;4;3;;4;3;600000;8;8;7;;9;8;64;1;0;98;0;0;0;2;2;2;2;2;0
