"fecha","ripte_priv","ist_nom_priv","ist_nom_pub","haber_minimo","sipa_prom_priv","sipa_med_priv"
1992-08-01,NA,NA,NA,150,NA,NA
1992-09-01,NA,NA,NA,150,NA,NA
1992-10-01,NA,NA,NA,150,NA,NA
1992-11-01,NA,NA,NA,150,NA,NA
1992-12-01,NA,NA,NA,150,NA,NA
1993-01-01,NA,NA,NA,150,NA,NA
1993-02-01,NA,NA,NA,150,NA,NA
1993-03-01,NA,NA,NA,150,NA,NA
1993-04-01,NA,NA,NA,150,NA,NA
1993-05-01,NA,NA,NA,150,NA,NA
1993-06-01,NA,NA,NA,150,NA,NA
1993-07-01,NA,NA,NA,150,NA,NA
1993-08-01,NA,NA,NA,150,NA,NA
1993-09-01,NA,NA,NA,150,NA,NA
1993-10-01,NA,NA,NA,150,NA,NA
1993-11-01,NA,NA,NA,150,NA,NA
1993-12-01,NA,NA,NA,150,NA,NA
1994-01-01,NA,NA,NA,150,NA,NA
1994-02-01,NA,NA,NA,150,NA,NA
1994-03-01,NA,NA,NA,150,NA,NA
1994-04-01,NA,NA,NA,150,NA,NA
1994-05-01,NA,NA,NA,150,NA,NA
1994-06-01,NA,NA,NA,150,NA,NA
1994-07-01,874.87,NA,NA,150,NA,NA
1994-08-01,893,NA,NA,150,NA,NA
1994-09-01,907.99,NA,NA,150,NA,NA
1994-10-01,910.75,NA,NA,150,NA,NA
1994-11-01,916.93,NA,NA,150,NA,NA
1994-12-01,936.83,NA,NA,150,NA,NA
1995-01-01,934.85,NA,NA,150,885.22,546.48
1995-02-01,928.29,NA,NA,150,826.49,526.2
1995-03-01,931.37,NA,NA,150,825.71,537.8
1995-04-01,909.07,NA,NA,150,785.44,516.13
1995-05-01,920.51,NA,NA,150,799.84,531.14
1995-06-01,944.4,NA,NA,150,1206.21,787.69
1995-07-01,914.41,NA,NA,150,810.2,534.46
1995-08-01,912.86,NA,NA,150,805.71,536.89
1995-09-01,914.69,NA,NA,150,807.08,530.06
1995-10-01,916.48,NA,NA,150,809.13,535.5
1995-11-01,921.41,NA,NA,150,813.97,533.8
1995-12-01,938.88,NA,NA,150,1254.79,793.31
1996-01-01,938.19,NA,NA,150,864.39,539.28
1996-02-01,933.47,NA,NA,150,816.04,523.98
1996-03-01,932.13,NA,NA,150,807.94,517.19
1996-04-01,924.13,NA,NA,150,797.32,517.91
1996-05-01,929.27,NA,NA,150,805.12,527.29
1996-06-01,940.95,NA,NA,150,1173.06,753.14
1996-07-01,930.16,NA,NA,150,801.17,519.41
1996-08-01,936.68,NA,NA,150,802.38,518.16
1996-09-01,939.25,NA,NA,150,803.74,511.09
1996-10-01,940.12,NA,NA,150,807.01,522.57
1996-11-01,921.9,NA,NA,150,799.97,505.9
1996-12-01,940.06,NA,NA,150,1206.57,747.05
1997-01-01,923.49,NA,NA,150,850.79,516.38
1997-02-01,923.58,NA,NA,150,803.39,503.96
1997-03-01,919.47,NA,NA,150,801.45,506.16
1997-04-01,912.02,NA,NA,150,792.93,505.17
1997-05-01,914.59,NA,NA,150,798.7,511.67
1997-06-01,928.71,NA,NA,150,1168.7,735.84
1997-07-01,905.95,NA,NA,150,797.83,510.8
1997-08-01,898.67,NA,NA,150,790.96,503.2
1997-09-01,910.27,NA,NA,150,801.38,510
1997-10-01,913.02,NA,NA,150,815.65,512.92
1997-11-01,899.56,NA,NA,150,792.57,500
1997-12-01,915.57,NA,NA,150,1206.03,741.15
1998-01-01,912.48,NA,NA,150,854.06,510.4
1998-02-01,908.13,NA,NA,150,810.32,501
1998-03-01,910.79,NA,NA,150,817.08,504.5
1998-04-01,899.86,NA,NA,150,807.27,505.57
1998-05-01,896.37,NA,NA,150,799.62,505.34
1998-06-01,920.38,NA,NA,150,1182.23,738.84
1998-07-01,898.35,NA,NA,150,805.11,509.45
1998-08-01,888.71,NA,NA,150,801.95,504.35
1998-09-01,894.03,NA,NA,150,802.73,505.78
1998-10-01,892.2,NA,NA,150,817.63,507.45
1998-11-01,891.18,NA,NA,150,801.99,500
1998-12-01,905.15,NA,NA,150,1224.79,743.81
1999-01-01,890.77,NA,NA,150,857.37,508.19
1999-02-01,897.38,NA,NA,150,821.08,500.61
1999-03-01,896.72,NA,NA,150,826.2,506.49
1999-04-01,884.93,NA,NA,150,814.42,504.04
1999-05-01,883.81,NA,NA,150,804,505
1999-06-01,898.59,NA,NA,150,1189.4,736.24
1999-07-01,888.23,NA,NA,150,806.62,506.01
1999-08-01,883.4,NA,NA,150,806.68,504.1
1999-09-01,886.14,NA,NA,150,809.59,505.24
1999-10-01,888.3,NA,NA,150,814.85,503.95
1999-11-01,887.21,NA,NA,150,809.29,503.26
1999-12-01,892.14,NA,NA,150,1225.38,744.61
2000-01-01,888.29,NA,NA,150,870.85,514.15
2000-02-01,893.47,NA,NA,150,833.5,506.09
2000-03-01,889.13,NA,NA,150,839.65,508.73
2000-04-01,871.69,NA,NA,150,828.26,502.75
2000-05-01,878.6,NA,NA,150,813.42,510.25
2000-06-01,903.02,NA,NA,150,1192.52,739.29
2000-07-01,882.35,NA,NA,150,812.29,505.83
2000-08-01,881.81,NA,NA,150,815.24,506.48
2000-09-01,883.15,NA,NA,150,813.33,503
2000-10-01,879.95,NA,NA,150,818.51,503.33
2000-11-01,877.91,NA,NA,150,802.66,498.96
2000-12-01,884.83,NA,NA,150,1210.71,730
2001-01-01,887.75,NA,NA,150,872.13,510.4
2001-02-01,892.27,NA,NA,150,834.76,501
2001-03-01,892.12,NA,NA,150,843.71,500.5
2001-04-01,884.92,NA,NA,150,821.64,502.67
2001-05-01,882.57,NA,NA,150,818.16,505.5
2001-06-01,889.09,NA,NA,150,1181.61,723.36
2001-07-01,881.29,NA,NA,150,802.91,500
2001-08-01,879.63,NA,NA,150,809.21,500
2001-09-01,876.4,NA,NA,150,800.27,497.08
2001-10-01,880.26,NA,NA,150,809.34,500
2001-11-01,875.83,NA,NA,150,804.6,499.66
2001-12-01,870.52,NA,NA,150,1200.61,727.27
2002-01-01,875.77,NA,NA,150,855.9,510.21
