"fecha","ipc_nivel_general","div01_alimentos","div02_bebidas","div03_prendas","div04_vivienda","div05_equipamiento","div06_salud","div07_transporte","div08_comunicacion","div09_recreacion","div10_educacion","div11_restaurantes","div12_bienes_varios","ipc_regulados"
2021-10-01,547.0802,572.3293,461.7273,569.4577,456.979,548.5192,626.6749,594.2962,485.73,539.5742,470.3893,517.4057,477.8239,485.2106
2021-11-01,560.9184,584.4717,466.8177,592.8289,466.9551,563.3426,641.9374,607.3504,489.7423,547.4789,474.3662,543.1712,487.5849,490.2282
2021-12-01,582.4575,609.3311,491.9092,621.094,476.8025,582.338,645.1434,637.3158,498.8013,569.1202,479.1164,575.1289,503.0842,498.6315
2022-01-01,605.0317,639.405,500.7578,635.994,485.193,601.6662,671.6729,654.8718,536.1267,593.0751,482.7713,607.7867,524.7001,512.3766
2022-02-01,633.4341,687.1658,514.0762,657.5762,498.9476,628.3237,696.1161,687.1919,544.0338,606.6697,495.5553,634.0233,547.448,528.2683
2022-03-01,676.0566,736.9451,543.6306,728.959,537.1626,655.8863,730.5922,724.8465,562.7616,626.8734,612.6821,668.4613,577.6959,572.7992
2022-04-01,716.9399,780.1457,561.8137,801.0762,561.7478,691.9571,777.2991,763.5071,583.3455,659.6448,635.5003,717.5668,608.0932,595.2223
2022-05-01,753.147,814.5693,593.5899,847.1542,581.7106,728.9951,825.5739,810.22,601.2442,693.9163,656.1411,758.3527,635.8157,629.0029
2022-06-01,793.0278,852.1804,633.4988,895.8753,621.3286,772.6412,886.798,848.636,603.5522,724.0064,669.445,805.4594,667.7975,662.0938
2022-07-01,851.761,903.4609,674.3455,971.758,649.6896,852.4176,947.493,895.3078,636.8292,819.4993,710.2816,884.0683,721.9398,694.6115
2022-08-01,911.1316,967.5805,721.689,1067.5251,685.6993,924.2301,1001.738,956.4746,662.6492,860.7132,745.7268,942.9087,784.4224,738.3105
2022-09-01,967.3076,1032.8063,789.7014,1180.9506,706.9826,980.1201,1045.0789,1012.0676,678.9797,905.8061,772.9974,988.6307,837.7345,771.8891
2022-10-01,1028.706,1096.5069,832.7248,1261.5985,759.7711,1028.4132,1119.4447,1057.3307,761.29,956.8276,827.9004,1061.9488,889.2464,829.1011
2022-11-01,1079.2787,1135.001,885.54,1318.2609,825.5091,1084.1626,1165.2705,1121.731,809.6802,996.7277,859.0553,1120.5659,941.1822,880.7676
2022-12-01,1134.5875,1187.9252,948.7615,1371.3368,860.1091,1148.5321,1231.4648,1186.6265,837.1999,1042.694,892.6222,1200.8127,995.2681,925.7853
