IPCBA (base 2021 = 100) según principales aperturas. Índice mensual. Ciudad de Buenos Aires. Febrero de 2022 / julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apertura,Índice ¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,01/01/2023,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,01/01/2024,02/01/2024,03/01/2024,04/01/2024,05/01/2024,06/01/2024,07/01/2024,08/01/2024,09/01/2024,10/01/2024,11/01/2024,12/01/2024,01/01/2025,02/01/2025,03/01/2025,04/01/2025,05/01/2025,06/01/2025,07/01/2025,08/01/2025,09/01/2025,10/01/2025,11/01/2025,12/01/2025,01/01/2026,02/01/2026,03/01/2026,04/01/2026,05/01/2026,06/01/2026,07/01/2026
Calzado,128.09,134.35,139.46,147.22,154.39,171.11,186.25,203.02,211.03,218.38,231.48,241.83,255.98,274.27,290.31,311.83,329.06,346.69,377.88,448.88,504.72,568.29,702.6,813.63,882.29,953.72,994.99,1012.23,1048.65,1075.81,1126.62,1173.46,1206.01,1222.68,1237.07,1254.04,1272.57,1295.78,1322.88,1323.29,1321.15,1332.93,1329.09,1345.93,1369.8,1367.56,1417.35,1442.35,1455.04,1480.43,1486.39,1498.23,1506.62,1494.9
"Vivienda, agua, electricidad, gas y otros combustibles",123.7,131.69,136.81,145.73,153.59,164.49,171.37,181.6,192.12,215.95,229.62,243.45,264.18,280.94,299.04,336.28,370.6,396.18,450.99,494.1,553.32,608.83,679.67,747.54,846.22,997.95,1226.76,1285.19,1378.54,1457.36,1520.94,1586.67,1655.37,1725.33,1792.99,1849.06,1906.47,1958.06,2004.17,2046.54,2109.25,2157.91,2199.28,2252.7,2298.08,2354.91,2405.01,2462.87,2608.04,2692.78,2752.67,2813.59,2874.78,2951.75
Alquiler de la vivienda,129.46,135.88,142.77,151.14,159.95,170.39,180.72,192.17,204.5,216.55,229.19,243.64,260.12,279.12,303.73,332.76,370.14,414.75,475.83,546.36,632.65,725.06,822.1,915.56,992.15,1059.42,1106.58,1146.45,1176.62,1209.81,1250.44,1294.96,1344.87,1393.94,1442.89,1491.96,1542.05,1590.02,1636.52,1686.16,1737.17,1782.14,1822.86,1864.79,1905.11,1943.62,1984.76,2039.23,2093.05,2148.56,2206.03,2264.78,2320.25,2363.09
Mantenimiento y reparación de la vivienda,142.33,157.09,164.66,176.15,189.86,205.09,217.5,229.88,242.7,256.89,272.09,289.49,313.1,336.47,362.91,387.51,410.63,437.28,482.38,557.79,623.05,677.69,800.2,985.21,1091.04,1165.74,1257.25,1370.2,1504.43,1675.41,1801,1925.7,2068.95,2255.25,2461.49,2670.29,2800.39,2951.34,3069.44,3205.48,3323.89,3424.03,3577.02,3706.51,3864.37,3951.37,4041.52,4207.37,4097.86,4141.37,4204.67,4271.13,4413.91,4511.17
Suministro de agua y otros servicios relacionados con la vivienda,121.97,125.4,130.02,142.64,144.41,159.54,163.8,176.06,179.87,219.36,238.98,252.47,277.32,292.35,296.43,313.79,344.3,357.17,422.25,443.41,490.8,529.05,587.66,631.75,692.06,914.18,1269.33,1350.55,1395.77,1548.01,1626.11,1703.76,1789.85,1866.9,1943.58,1988.21,2045.54,2091.27,2130.15,2165.77,2242.28,2296.91,2324.35,2381.63,2424.4,2477.09,2518.66,2574.08,2745.81,2844.64,2932.89,3001.83,3059.82,3147.19
Suministro de agua,100,100,100,100,100,120,120,120,132,236.59,236.59,280.92,280.92,321.31,321.31,321.31,321.31,321.31,668.05,668.05,802.89,802.89,925.1,925.1,953.63,953.63,2680.97,2946.71,3028.22,3219.15,3385.1,3536.85,3710.47,3859.66,3978.73,4018.52,4058.7,4099.29,4140.28,4181.69,4223.5,4265.74,4308.4,4351.48,4395,4438.95,4483.34,4662.67,4849.18,5043.14,5244.87,5402.21,5564.28,5767.25
Gastos comunes por la vivienda,125.37,129.33,134.66,149.24,151.28,165.66,170.58,184.73,187.28,216.7,239.35,248.07,276.77,287.87,292.59,312.63,347.85,362.71,384.23,408.66,442.53,486.69,535.46,586.37,651.6,908.08,1050.97,1103.65,1143.25,1289.51,1354.02,1420.21,1492.76,1558.65,1628.77,1674.15,1734.13,1780.66,1819.22,1853.94,1935.81,1992.36,2017.44,2076.92,2119.58,2173.62,2214.76,2251.01,2420.46,2504.57,2575.26,2630.53,2672.41,2741.9
"Electricidad, gas y otros combustibles",103.43,125.13,125.13,125.47,143.52,143.52,144.37,144.93,166,190.07,191.3,202.75,225.05,236.81,267.14,384.24,423.05,421.99,435.48,437.81,441.67,428.13,430.07,435.21,695.3,957.33,1475.59,1512.8,1904.99,1903.76,1977.51,2055.83,2110,2182.02,2231.83,2280.36,2332.86,2372.68,2408.54,2410.23,2452.98,2478.43,2514.62,2564.73,2589.57,2701.47,2785.24,2818.76,3272.74,3427.01,3421.63,3466.95,3522.81,3670.3
Electricidad,103.36,124.1,124.1,124.1,141.64,141.64,141.64,141.64,169.56,196.92,196.92,196.92,234.94,234.94,288.59,445.59,514.31,514.31,538.13,538.13,538.13,510.28,510.28,510.28,937.55,1395.33,1397.3,1397.3,2005.19,2005.19,2087.44,2178.61,2236.89,2300.08,2336.24,2366.62,2421.85,2464.45,2498.83,2540.68,2603.92,2646.61,2684,2725.17,2767.75,2866.99,2939.15,2928.58,3410.68,3675.49,3720.87,3772.3,3838.88,4066.49
Gas,103.51,126.52,126.52,127.31,146.04,146.04,148.03,149.35,161.21,180.88,183.75,210.57,211.79,239.32,238.37,301.95,300.66,298.18,297.83,303.26,312.3,317.95,322.49,334.52,370.42,369.91,1580.59,1667.69,1770.62,1767.73,1830.06,1891.16,1939.82,2023.69,2091.79,2164.67,2213.5,2249.61,2287.44,2235.27,2250.55,2252.87,2287.45,2349.55,2350.6,2479.47,2578.82,2671.49,3087.74,3093.76,3020.3,3057.42,3098.93,3138.94
Equipamiento y mantenimiento del hogar,136.5,146.38,150.43,161.29,173.77,184.34,199.56,210.95,224.84,237.31,253.1,265.87,278.53,293.57,320.86,344.36,366.32,385.85,433.16,478.57,529.88,595.02,725.22,871.91,937.2,1018.01,1088.33,1150.08,1185.86,1198.22,1220.56,1294.56,1337.24,1381.98,1389.96,1418.69,1430.42,1437.88,1461.98,1461.29,1470.59,1479.1,1492.04,1523.13,1544.28,1570.28,1594.98,1621.76,1672.47,1738.47,1783.92,1835.96,1911.34,1979.74
"Muebles, accesorios y alfombras",126.83,131.95,138.97,146.71,151.08,173.23,190.39,198.18,210.3,226.86,235.12,246.69,252.44,271.89,297.35,324.9,352.59,378.82,444.52,509.01,594.08,665.52,868.89,1014.54,1086.78,1106.73,1143.67,1150.39,1173.11,1214.77,1255.23,1300.18,1341.82,1344.53,1378.15,1419.93,1441.35,1432.11,1472.9,1501.85,1524.13,1544.67,1572.39,1598.54,1631.49,1640.88,1679.87,1712.33,1724.53,1757.31,1823.03,1844.5,1875.74,1906.46
